profile,step,action,correct,response_time,skill,recent_accuracy,confidence,blend_weight,reward,q_before,q_after,p_stat,p_rl,hybrid_policy,reward_components
struggling,10,EASY,False,13.56,0.3357,0.2,0.7802,0.4231,-0.4135,0.0,-0.062,"{""EASY"": 0.6383, ""MEDIUM"": 0.2932, ""HARD"": 0.0685}","{""EASY"": 0.8771, ""MEDIUM"": 0.0615, ""HARD"": 0.0615}","{""EASY"": 0.7393, ""MEDIUM"": 0.1951, ""HARD"": 0.0655}","{""r_acc"": -0.5, ""r_time"": 0.08653731844928542, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.4134626815507146}"
struggling,11,HARD,False,10.24,0.3329,0.2,0.7869,0.4504,-0.3381,0.0,-0.0507,"{""EASY"": 0.6527, ""MEDIUM"": 0.2852, ""HARD"": 0.062}","{""EASY"": 0.0596, ""MEDIUM"": 0.0596, ""HARD"": 0.8808}","{""EASY"": 0.3856, ""MEDIUM"": 0.1836, ""HARD"": 0.4308}","{""r_acc"": -0.5, ""r_time"": 0.16187298583436863, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3381270141656314}"
struggling,12,HARD,False,16.86,0.3301,0.2,0.775,0.4805,-0.4612,0.0,-0.0692,"{""EASY"": 0.4685, ""MEDIUM"": 0.2347, ""HARD"": 0.2968}","{""EASY"": 0.8844, ""MEDIUM"": 0.0578, ""HARD"": 0.0578}","{""EASY"": 0.6683, ""MEDIUM"": 0.1497, ""HARD"": 0.182}","{""r_acc"": -0.5, ""r_time"": 0.03880935529423944, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.46119064470576054}"
struggling,13,EASY,True,6.55,0.3493,0.2,0.7505,0.5026,1.2694,0.0,0.1904,"{""EASY"": 0.4698, ""MEDIUM"": 0.2338, ""HARD"": 0.2964}","{""EASY"": 0.8878, ""MEDIUM"": 0.0561, ""HARD"": 0.0561}","{""EASY"": 0.6799, ""MEDIUM"": 0.1445, ""HARD"": 0.1756}","{""r_acc"": 1.0, ""r_time"": 0.23727532092827455, ""r_prog"": 0.0, ""r_mom"": 0.032151273753163435, ""total"": 1.269426594681438}"
struggling,14,EASY,False,11.13,0.3228,0.2,0.7491,0.5177,-0.3556,0.0,-0.0533,"{""EASY"": 0.6577, ""MEDIUM"": 0.2794, ""HARD"": 0.0629}","{""EASY"": 0.8912, ""MEDIUM"": 0.0544, ""HARD"": 0.0544}","{""EASY"": 0.7786, ""MEDIUM"": 0.1629, ""HARD"": 0.0585}","{""r_acc"": -0.5, ""r_time"": 0.14438467856434065, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3556153214356593}"
struggling,15,EASY,False,11.12,0.2987,0.2,0.7489,0.5433,-0.3551,0.0,-0.0533,"{""EASY"": 0.6708, ""MEDIUM"": 0.272, ""HARD"": 0.0572}","{""EASY"": 0.8945, ""MEDIUM"": 0.0528, ""HARD"": 0.0528}","{""EASY"": 0.7923, ""MEDIUM"": 0.1529, ""HARD"": 0.0548}","{""r_acc"": -0.5, ""r_time"": 0.14491041592246587, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3550895840775341}"
struggling,16,EASY,False,8.41,0.2767,0.2,0.7436,0.5694,-0.2967,-0.0533,-0.0898,"{""EASY"": 0.6729, ""MEDIUM"": 0.2731, ""HARD"": 0.054}","{""EASY"": 0.0512, ""MEDIUM"": 0.8976, ""HARD"": 0.0512}","{""EASY"": 0.3189, ""MEDIUM"": 0.6287, ""HARD"": 0.0524}","{""r_acc"": -0.5, ""r_time"": 0.20327825792128285, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.29672174207871715}"
struggling,17,EASY,False,9.74,0.2568,0.2,0.7709,0.5924,-0.3271,0.0,-0.0491,"{""EASY"": 0.6853, ""MEDIUM"": 0.2652, ""HARD"": 0.0495}","{""EASY"": 0.9007, ""MEDIUM"": 0.0497, ""HARD"": 0.0497}","{""EASY"": 0.8129, ""MEDIUM"": 0.1375, ""HARD"": 0.0496}","{""r_acc"": -0.5, ""r_time"": 0.17287265674256977, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3271273432574302}"
struggling,18,EASY,False,11.13,0.2387,0.0,0.9789,0.6357,-0.3602,-0.0898,-0.1303,"{""EASY"": 0.6969, ""MEDIUM"": 0.2575, ""HARD"": 0.0456}","{""EASY"": 0.0482, ""MEDIUM"": 0.9037, ""HARD"": 0.0482}","{""EASY"": 0.2845, ""MEDIUM"": 0.6682, ""HARD"": 0.0472}","{""r_acc"": -0.5, ""r_time"": 0.139819541210844, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.360180458789156}"
struggling,19,MEDIUM,False,15.12,0.2322,0.0,0.9595,0.8,-0.4409,0.0,-0.0661,"{""EASY"": 0.7077, ""MEDIUM"": 0.25, ""HARD"": 0.0422}","{""EASY"": 0.0467, ""MEDIUM"": 0.9066, ""HARD"": 0.0467}","{""EASY"": 0.1789, ""MEDIUM"": 0.7753, ""HARD"": 0.0458}","{""r_acc"": -0.5, ""r_time"": 0.05906533331042349, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.4409346666895765}"
struggling,20,MEDIUM,False,14.32,0.226,0.0,0.9559,0.8,-0.4226,0.0,-0.0634,"{""EASY"": 0.5485, ""MEDIUM"": 0.4163, ""HARD"": 0.0352}","{""EASY"": 0.0453, ""MEDIUM"": 0.9094, ""HARD"": 0.0453}","{""EASY"": 0.146, ""MEDIUM"": 0.8108, ""HARD"": 0.0433}","{""r_acc"": -0.5, ""r_time"": 0.07740667341080926, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.42259332658919074}"
struggling,21,HARD,False,14.38,0.2251,0.0,0.9674,0.8,-0.4207,-0.0507,-0.1131,"{""EASY"": 0.5515, ""MEDIUM"": 0.4143, ""HARD"": 0.0341}","{""EASY"": 0.044, ""MEDIUM"": 0.044, ""HARD"": 0.9121}","{""EASY"": 0.1455, ""MEDIUM"": 0.118, ""HARD"": 0.7365}","{""r_acc"": -0.5, ""r_time"": 0.0793032119968868, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.4206967880031132}"
struggling,22,EASY,False,9.33,0.2101,0.0,0.9652,0.8,-0.3063,-0.062,-0.0987,"{""EASY"": 0.5202, ""MEDIUM"": 0.1969, ""HARD"": 0.283}","{""EASY"": 0.9147, ""MEDIUM"": 0.0426, ""HARD"": 0.0426}","{""EASY"": 0.8358, ""MEDIUM"": 0.0735, ""HARD"": 0.0907}","{""r_acc"": -0.5, ""r_time"": 0.19372822347690513, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3062717765230949}"
struggling,23,MEDIUM,False,3.96,0.2051,0.0,0.9253,0.8,-0.2278,0.0,-0.0342,"{""EASY"": 0.7329, ""MEDIUM"": 0.2311, ""HARD"": 0.0361}","{""EASY"": 0.9173, ""MEDIUM"": 0.0414, ""HARD"": 0.0414}","{""EASY"": 0.8804, ""MEDIUM"": 0.0793, ""HARD"": 0.0403}","{""r_acc"": -0.5, ""r_time"": 0.272229756530008, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.22777024346999197}"
struggling,24,EASY,True,6.58,0.2249,0.2,0.7226,0.7977,1.2657,0.0,0.1899,"{""EASY"": 0.5619, ""MEDIUM"": 0.4073, ""HARD"": 0.0308}","{""EASY"": 0.9198, ""MEDIUM"": 0.0401, ""HARD"": 0.0401}","{""EASY"": 0.8474, ""MEDIUM"": 0.1144, ""HARD"": 0.0382}","{""r_acc"": 1.0, ""r_time"": 0.2335840567490528, ""r_prog"": 0.0, ""r_mom"": 0.032151273753163435, ""total"": 1.2657353305022163}"
struggling,25,HARD,False,8.06,0.224,0.2,0.7263,0.6558,-0.2953,0.0,-0.0443,"{""EASY"": 0.7241, ""MEDIUM"": 0.2373, ""HARD"": 0.0386}","{""EASY"": 0.0389, ""MEDIUM"": 0.0389, ""HARD"": 0.9222}","{""EASY"": 0.2747, ""MEDIUM"": 0.1072, ""HARD"": 0.6181}","{""r_acc"": -0.5, ""r_time"": 0.2046620678150522, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.2953379321849478}"
struggling,26,HARD,False,7.69,0.223,0.2,0.7572,0.6584,-0.2898,0.0,-0.0435,"{""EASY"": 0.5207, ""MEDIUM"": 0.1964, ""HARD"": 0.2829}","{""EASY"": 0.0377, ""MEDIUM"": 0.0377, ""HARD"": 0.9245}","{""EASY"": 0.2027, ""MEDIUM"": 0.0919, ""HARD"": 0.7053}","{""r_acc"": -0.5, ""r_time"": 0.21016689642981598, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.289833103570184}"
struggling,27,EASY,False,14.16,0.2082,0.2,0.725,0.6801,-0.4241,0.0,-0.0636,"{""EASY"": 0.5212, ""MEDIUM"": 0.196, ""HARD"": 0.2828}","{""EASY"": 0.9268, ""MEDIUM"": 0.0366, ""HARD"": 0.0366}","{""EASY"": 0.797, ""MEDIUM"": 0.0876, ""HARD"": 0.1154}","{""r_acc"": -0.5, ""r_time"": 0.07587831966056109, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.4241216803394389}"
struggling,28,EASY,False,15.15,0.1948,0.2,0.7387,0.6575,-0.4373,0.0,-0.0656,"{""EASY"": 0.734, ""MEDIUM"": 0.2302, ""HARD"": 0.0358}","{""EASY"": 0.929, ""MEDIUM"": 0.0355, ""HARD"": 0.0355}","{""EASY"": 0.8622, ""MEDIUM"": 0.1022, ""HARD"": 0.0356}","{""r_acc"": -0.5, ""r_time"": 0.06266073968279895, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.43733926031720105}"
struggling,29,EASY,True,6.96,0.2144,0.2,0.7407,0.6671,1.2576,-0.0656,0.1329,"{""EASY"": 0.7422, ""MEDIUM"": 0.2243, ""HARD"": 0.0336}","{""EASY"": 0.0345, ""MEDIUM"": 0.0345, ""HARD"": 0.9311}","{""EASY"": 0.2701, ""MEDIUM"": 0.0976, ""HARD"": 0.6323}","{""r_acc"": 1.0, ""r_time"": 0.22541836540001353, ""r_prog"": 0.0, ""r_mom"": 0.032151273753163435, ""total"": 1.257569639153177}"
struggling,30,EASY,False,15.97,0.2004,0.2,0.7437,0.6685,-0.4471,0.0,-0.0491,"{""EASY"": 0.7228, ""MEDIUM"": 0.2394, ""HARD"": 0.0378}","{""EASY"": 0.9332, ""MEDIUM"": 0.0334, ""HARD"": 0.0334}","{""EASY"": 0.8634, ""MEDIUM"": 0.1017, ""HARD"": 0.0349}","{""r_acc"": -0.5, ""r_time"": 0.05288019039225215, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.44711980960774783}"
struggling,31,EASY,False,7.21,0.1877,0.2,0.7413,0.6706,-0.2793,0.1329,0.071,"{""EASY"": 0.7317, ""MEDIUM"": 0.2329, ""HARD"": 0.0354}","{""EASY"": 0.9352, ""MEDIUM"": 0.0324, ""HARD"": 0.0324}","{""EASY"": 0.8681, ""MEDIUM"": 0.0985, ""HARD"": 0.0334}","{""r_acc"": -0.5, ""r_time"": 0.22066747513378288, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.2793325248662171}"
struggling,32,HARD,False,5.33,0.1872,0.2,0.7193,0.6689,-0.2537,0.0,-0.0381,"{""EASY"": 0.74, ""MEDIUM"": 0.2268, ""HARD"": 0.0333}","{""EASY"": 0.0314, ""MEDIUM"": 0.0314, ""HARD"": 0.9371}","{""EASY"": 0.266, ""MEDIUM"": 0.0961, ""HARD"": 0.6379}","{""r_acc"": -0.5, ""r_time"": 0.24629174504000684, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.25370825495999316}"
struggling,33,MEDIUM,True,10.82,0.2151,0.4,0.6298,0.6535,1.2764,0.0,0.1915,"{""EASY"": 0.54, ""MEDIUM"": 0.1811, ""HARD"": 0.2789}","{""EASY"": 0.0305, ""MEDIUM"": 0.939, ""HARD"": 0.0305}","{""EASY"": 0.2071, ""MEDIUM"": 0.6764, ""HARD"": 0.1166}","{""r_acc"": 1.0, ""r_time"": 0.14420252758348384, ""r_prog"": 0.1, ""r_mom"": 0.032151273753163435, ""total"": 1.2763538013366476}"
struggling,34,EASY,False,12.14,0.201,0.2,0.7353,0.5909,-0.383,0.0,-0.0664,"{""EASY"": 0.5569, ""MEDIUM"": 0.4107, ""HARD"": 0.0324}","{""EASY"": 0.9408, ""MEDIUM"": 0.0296, ""HARD"": 0.0296}","{""EASY"": 0.7838, ""MEDIUM"": 0.1855, ""HARD"": 0.0307}","{""r_acc"": -0.5, ""r_time"": 0.11695122079367878, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3830487792063212}"
struggling,35,MEDIUM,False,8.74,0.1965,0.2,0.7529,0.6647,-0.3112,-0.0661,-0.1118,"{""EASY"": 0.7383, ""MEDIUM"": 0.2271, ""HARD"": 0.0346}","{""EASY"": 0.0287, ""MEDIUM"": 0.9426, ""HARD"": 0.0287}","{""EASY"": 0.2666, ""MEDIUM"": 0.7027, ""HARD"": 0.0307}","{""r_acc"": -0.5, ""r_time"": 0.18878444513766868, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3112155548623313}"
struggling,36,HARD,False,11.5,0.1958,0.2,0.7572,0.677,-0.3706,-0.0692,-0.1237,"{""EASY"": 0.5662, ""MEDIUM"": 0.4044, ""HARD"": 0.0294}","{""EASY"": 0.0278, ""MEDIUM"": 0.0278, ""HARD"": 0.9443}","{""EASY"": 0.2017, ""MEDIUM"": 0.1495, ""HARD"": 0.6488}","{""r_acc"": -0.5, ""r_time"": 0.129380671371914, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.370619328628086}"
struggling,37,MEDIUM,False,11.45,0.1916,0.2,0.7866,0.68,-0.3691,-0.1118,-0.1655,"{""EASY"": 0.5354, ""MEDIUM"": 0.1848, ""HARD"": 0.2798}","{""EASY"": 0.027, ""MEDIUM"": 0.946, ""HARD"": 0.027}","{""EASY"": 0.1897, ""MEDIUM"": 0.7024, ""HARD"": 0.1079}","{""r_acc"": -0.5, ""r_time"": 0.1309243986267402, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3690756013732598}"
struggling,38,HARD,False,8.5,0.1909,0.0,0.9708,0.7006,-0.3049,-0.1237,-0.1253,"{""EASY"": 0.5687, ""MEDIUM"": 0.4026, ""HARD"": 0.0287}","{""EASY"": 0.0262, ""MEDIUM"": 0.0262, ""HARD"": 0.9476}","{""EASY"": 0.1886, ""MEDIUM"": 0.1389, ""HARD"": 0.6725}","{""r_acc"": -0.5, ""r_time"": 0.1951008965774992, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3048991034225008}"
struggling,39,EASY,False,15.72,0.1792,0.0,0.9534,0.8,-0.4472,0.1899,0.0857,"{""EASY"": 0.538, ""MEDIUM"": 0.1827, ""HARD"": 0.2793}","{""EASY"": 0.9492, ""MEDIUM"": 0.0254, ""HARD"": 0.0254}","{""EASY"": 0.867, ""MEDIUM"": 0.0569, ""HARD"": 0.0762}","{""r_acc"": -0.5, ""r_time"": 0.05277212245479552, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.4472278775452045}"
struggling,40,MEDIUM,False,7.24,0.1756,0.0,0.9461,0.8,-0.2803,-0.0634,-0.0844,"{""EASY"": 0.752, ""MEDIUM"": 0.217, ""HARD"": 0.031}","{""EASY"": 0.0246, ""MEDIUM"": 0.9507, ""HARD"": 0.0246}","{""EASY"": 0.1701, ""MEDIUM"": 0.804, ""HARD"": 0.0259}","{""r_acc"": -0.5, ""r_time"": 0.21968444170475504, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.28031555829524496}"
struggling,41,EASY,True,9.01,0.1947,0.2,0.7503,0.8,1.2162,0.0857,0.2553,"{""EASY"": 0.5768, ""MEDIUM"": 0.3969, ""HARD"": 0.0263}","{""EASY"": 0.9522, ""MEDIUM"": 0.0239, ""HARD"": 0.0239}","{""EASY"": 0.8771, ""MEDIUM"": 0.0985, ""HARD"": 0.0244}","{""r_acc"": 1.0, ""r_time"": 0.18408921319995575, ""r_prog"": 0.0, ""r_mom"": 0.032151273753163435, ""total"": 1.2162404869531191}"
struggling,42,EASY,True,12.21,0.2143,0.4,0.6538,0.6752,1.172,0.0,0.1758,"{""EASY"": 0.7422, ""MEDIUM"": 0.2242, ""HARD"": 0.0335}","{""EASY"": 0.9536, ""MEDIUM"": 0.0232, ""HARD"": 0.0232}","{""EASY"": 0.885, ""MEDIUM"": 0.0885, ""HARD"": 0.0265}","{""r_acc"": 1.0, ""r_time"": 0.11373301616511605, ""r_prog"": 0.0, ""r_mom"": 0.05827829453479101, ""total"": 1.172011310699907}"
struggling,43,HARD,False,15.06,0.2135,0.4,0.6562,0.6077,-0.4376,0.0,-0.0656,"{""EASY"": 0.7303, ""MEDIUM"": 0.2329, ""HARD"": 0.0368}","{""EASY"": 0.0225, ""MEDIUM"": 0.0225, ""HARD"": 0.955}","{""EASY"": 0.3002, ""MEDIUM"": 0.105, ""HARD"": 0.5948}","{""r_acc"": -0.5, ""r_time"": 0.062437519308023784, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.43756248069197623}"
struggling,44,EASY,True,3.24,0.2335,0.6,0.6251,0.6093,1.3024,0.0,0.1954,"{""EASY"": 0.5261, ""MEDIUM"": 0.1922, ""HARD"": 0.2817}","{""EASY"": 0.9564, ""MEDIUM"": 0.0218, ""HARD"": 0.0218}","{""EASY"": 0.7883, ""MEDIUM"": 0.0884, ""HARD"": 0.1233}","{""r_acc"": 1.0, ""r_time"": 0.2702901497473481, ""r_prog"": 0.0, ""r_mom"": 0.032151273753163435, ""total"": 1.3024414235005115}"
struggling,45,EASY,False,16.45,0.2176,0.6,0.6276,0.5876,-0.4532,0.0,-0.068,"{""EASY"": 0.7191, ""MEDIUM"": 0.2408, ""HARD"": 0.0401}","{""EASY"": 0.9577, ""MEDIUM"": 0.0212, ""HARD"": 0.0212}","{""EASY"": 0.8593, ""MEDIUM"": 0.1118, ""HARD"": 0.029}","{""r_acc"": -0.5, ""r_time"": 0.046765674059972506, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.4532343259400275}"
struggling,46,EASY,False,6.13,0.2033,0.4,0.6157,0.5893,-0.2661,0.0,-0.0399,"{""EASY"": 0.7283, ""MEDIUM"": 0.2343, ""HARD"": 0.0374}","{""EASY"": 0.9589, ""MEDIUM"": 0.0205, ""HARD"": 0.0205}","{""EASY"": 0.8642, ""MEDIUM"": 0.1083, ""HARD"": 0.0274}","{""r_acc"": -0.5, ""r_time"": 0.2339238487857267, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.2660761512142733}"
struggling,47,EASY,False,6.46,0.1904,0.2,0.6966,0.581,-0.2728,0.0,-0.0409,"{""EASY"": 0.7103, ""MEDIUM"": 0.2512, ""HARD"": 0.0385}","{""EASY"": 0.9602, ""MEDIUM"": 0.0199, ""HARD"": 0.0199}","{""EASY"": 0.8554, ""MEDIUM"": 0.1168, ""HARD"": 0.0277}","{""r_acc"": -0.5, ""r_time"": 0.22723885595130233, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.27276114404869767}"
struggling,48,EASY,False,9.7,0.1787,0.2,0.7004,0.6376,-0.3341,0.0,-0.0501,"{""EASY"": 0.7382, ""MEDIUM"": 0.2281, ""HARD"": 0.0337}","{""EASY"": 0.9614, ""MEDIUM"": 0.0193, ""HARD"": 0.0193}","{""EASY"": 0.8805, ""MEDIUM"": 0.095, ""HARD"": 0.0245}","{""r_acc"": -0.5, ""r_time"": 0.1658769474337065, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3341230525662935}"
struggling,49,EASY,False,8.15,0.168,0.0,0.9198,0.6403,-0.3033,0.0,-0.0197,"{""EASY"": 0.746, ""MEDIUM"": 0.2222, ""HARD"": 0.0317}","{""EASY"": 0.9625, ""MEDIUM"": 0.0187, ""HARD"": 0.0187}","{""EASY"": 0.8846, ""MEDIUM"": 0.0919, ""HARD"": 0.0234}","{""r_acc"": -0.5, ""r_time"": 0.19668855237062238, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3033114476293776}"
struggling,50,MEDIUM,False,12.94,0.1649,0.0,0.9427,0.7938,-0.4013,0.1915,0.0911,"{""EASY"": 0.7532, ""MEDIUM"": 0.2168, ""HARD"": 0.03}","{""EASY"": 0.0182, ""MEDIUM"": 0.9637, ""HARD"": 0.0182}","{""EASY"": 0.1697, ""MEDIUM"": 0.8097, ""HARD"": 0.0206}","{""r_acc"": -0.5, ""r_time"": 0.09866450444369433, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.40133549555630565}"
struggling,51,MEDIUM,True,11.16,0.191,0.2,0.7613,0.8,1.2695,-0.0844,0.1425,"{""EASY"": 0.5823, ""MEDIUM"": 0.3929, ""HARD"": 0.0247}","{""EASY"": 0.0176, ""MEDIUM"": 0.9647, ""HARD"": 0.0176}","{""EASY"": 0.1306, ""MEDIUM"": 0.8504, ""HARD"": 0.0191}","{""r_acc"": 1.0, ""r_time"": 0.13738534750763226, ""r_prog"": 0.1, ""r_mom"": 0.032151273753163435, ""total"": 1.269536621260796}"
struggling,52,MEDIUM,True,14.03,0.2192,0.4,0.6741,0.6829,1.2384,0.0,0.1858,"{""EASY"": 0.569, ""MEDIUM"": 0.4024, ""HARD"": 0.0286}","{""EASY"": 0.9658, ""MEDIUM"": 0.0171, ""HARD"": 0.0171}","{""EASY"": 0.84, ""MEDIUM"": 0.1393, ""HARD"": 0.0207}","{""r_acc"": 1.0, ""r_time"": 0.08009453205856297, ""r_prog"": 0.1, ""r_mom"": 0.05827829453479101, ""total"": 1.238372826593354}"
struggling,53,EASY,True,14.78,0.2393,0.6,0.6733,0.6218,1.1456,0.0,0.1718,"{""EASY"": 0.6986, ""MEDIUM"": 0.2598, ""HARD"": 0.0416}","{""EASY"": 0.9667, ""MEDIUM"": 0.0167, ""HARD"": 0.0167}","{""EASY"": 0.8653, ""MEDIUM"": 0.1086, ""HARD"": 0.0261}","{""r_acc"": 1.0, ""r_time"": 0.06947984951490765, ""r_prog"": 0.0, ""r_mom"": 0.07615941559557649, ""total"": 1.145639265110484}"
